一不小心	yrt brt siu srm
不含糊	brt hrm wu
不周	brt zru
不周山	brt zru san
不周延	brt zru yin
不咋地	brt za dei
不和	brt wo
不咎既往	brt gru gei woj
不问	brt mrn
不问好歹	brt mrn hou dai
不问就听不到假话	brt mrn zru tij brt dou ga wa
不问青红皂白	brt mrn cij huj zou bak
不啻	brt ci
不啻天渊	brt ci tin yvn
不善	brt sin
不单	brt dan
不圆通	brt yvn tuj
不在	brt zoi
不在乎	brt zoi fu
不在了	brt zoi liu
不在其位不谋其政	brt zoi kei wri brt mru kei zij
不在意	brt zoi yi
不在状态	brt zoi zoj tai
不在话下	brt zoi wa ha
不均	brt gurn
不堪	brt hrm
不堪一击	brt hrm yrt gik
不堪入目	brt hrm yrp muk
不堪忍受	brt hrm yrn sru
不堪设想	brt hrm cit sxj
不外	brt joi
不外乎	brt joi fu
不外露	brt joi lou
不够	brt gru
不大	brt dai
不大离	brt dai lei
不大离儿	brt dai lei yi
不太好	brt tai hou
不失时机	brt srt si gei
不失为	brt srt wri
不好	brt hou
不好受	brt hou sru
不好惹	brt hou ye
不好意思	brt hou yi si
不好说	brt hou svt
不如	brt yv
不如人意	brt yv yrn yi
不妙	brt miu
不妥	brt to
不妥协	brt to hip
不妨	brt foj
不孕	brt yrn
不孕症	brt yrn zij
不孚众望	brt fu zuj moj
不孝	brt hau
不孝有三，无后为大	brt hau yru sam ，mou hru wri dai
不学无术	brt hok mou sxt
不安其室	brt on kei srt
不安分	brt on frn
不安好心	brt on hou srm
不完全中立	brt yvn cvn zuj lap
不完全归纳推理	brt yvn cvn guri nap txi lei
不完全叶	brt yvn cvn yip
不完善	brt yvn sin
不完美	brt yvn mei
不定	brt dij
不定元	brt dij yvn
不定冠词	brt dij gun ci
不定式	brt dij sik
不定形	brt dij yij
不定方程	brt dij foj cij
不定期	brt dij kei
不定积分	brt dij zik frn
不定词	brt dij ci
不宜	brt yi
不客气	brt hak hei
不宣而战	brt svn yi zin
不容	brt yuj
不容置疑	brt yuj zi yi
不容置辩	brt yuj zi bin
不寒而栗	brt hon yi lxt
不对	brt dxi
不对劲	brt dxi gij
不对劲儿	brt dxi gij yi
不对盘	brt dxi pun
不对碴儿	brt dxi za yi
不对称	brt dxi cij
不对头	brt dxi tru
不少	brt siu
不局限	brt guk han
不屈	brt wrt
不屈不挠	brt wrt brt nau
不屑	brt sit
不屑一顾	brt sit yrt gu
不巧	brt hau
不差	brt ca
不已	brt yi
不带	brt dai
不带电	brt dai din
不干涉	brt gon sip
不平	brt pij
不平凡	brt pij fan
不平则鸣	brt pij zrk mij
不平常	brt pij sxj
不平等	brt pij drj
不平等条约	brt pij drj tiu yxk
不平衡	brt pij hrj
不幸	brt hrj
不幸之事	brt hrj zi si
不幸之幸	brt hrj zi hrj
不幸受害	brt hrj sru hoi
不待说	brt doi svt
不很	brt hrn
不得	brt drk
不得不	brt drk brt
不得了	brt drk liu
不得人心	brt drk yrn srm
不得其门而入	brt drk kei mun yi yrp
不得劲	brt drk gij
不得已	brt drk yi
不得已而为之	brt drk yi yi wri zi
不得而知	brt drk yi zi
不得要领	brt drk yiu lij
不复	brt fuk
不必要	brt bit yiu
不忍	brt yrn
不忙	brt moj
不快	brt fai
不念旧恶	brt nim gru ok
不忿	brt frn
不怎么	brt zrm mo
不怎么样	brt zrm mo yxj
不怕	brt pa
不怕一万，就怕万一	brt pa yrt man ，zru pa man yrt
不怕不识货，只怕货比货	brt pa brt sik fo, zi pa fo bei fo
不怕不识货，就怕货比货	brt pa brt sik fo ，zru pa fo bei fo
不怕官，只怕管	brt pa gun ，zi pa gun
不怕慢，就怕站	brt pa man, zru pa zam
不怕神一样的对手，就怕猪一样的队友	brt pa srn yrt yxj dik dxi sru, zru pa zv yrt yxj dik dxi yru
不怠	brt toi
不急之务	brt grp zi mou
不恤	brt sxt
不恤人言	brt sxt yrn yin
不耻下问	brt ci ha mrn
不恭	brt guj
不息	brt sik
不悦	brt yvt
不患寡而患不均	brt wan gua yi wan brt gurn
不情之请	brt cij zi cij
不情愿	brt cij yvn
不惑	brt wak
不惜	brt sik
不惜血本	brt sik hvt bun
不惟	brt wri
不想	brt sxj
不愉快	brt yv fai
不意	brt yi
不愧	brt quri
不愧下学	brt quri ha hok
不愧不怍	brt quri brt zok
不慌不忙	brt foj brt moj
不慎	brt srn
不愤不启	brt frn brt kri
不懂装懂	brt duj zoj duj
不懈	brt hai
不懈怠	brt hai toi
不应期	brt yij kei
不怀好意	brt wai hou yi
不成	brt sij
不成功便成仁	brt sij guj bin sij yrn
不成文	brt sij mrn
不成文法	brt sij mrn fat
不成材	brt sij coi
不成样子	brt sij yxj zi
不成熟	brt sij suk
不成体统	brt sij tri tuj
不战不和	brt zin brt wo
不才	brt coi
不打不成器	brt da brt sij hei
不打不成才	brt da brt sij coi
不打不成相识	brt da brt sij sxj sik
不打不相识	brt da brt sxj sik
不打紧	brt da grn
不打自招	brt da zi ziu
不承认主义	brt sij yij zv yi
不折不扣	brt zit brt kru
不抵抗主义	brt dri koj zv yi
不拉叽	brt lai gei
不拉几	brt lai gei
不拘	brt kxi
不拘一格	brt kxi yrt gak
不拘小节	brt kxi siu zit
不振	brt zrn
不舍	brt se
不提也罢	brt tri ya ba
不插电	brt cap din
不揣冒昧	brt cvn mou mui
不摸头	brt mo tru
不撞南墙不回头	brt zoj nam cxj brt wui tru
不择手段	brt zak sru dvn
不扩散核武器条约	brt quoj san hrt mou hei tiu yxk
不支	brt zi
不攻自破	brt guj zi po
不败之地	brt bai zi dei
不敢当	brt grm doj
不敢自专	brt grm zi zvn
不敢苟同	brt grm gru tuj
不敢越雷池一步	brt grm yvt lxi ci yrt bou
不敢高攀	brt grm gou pan
不敬	brt gij
不敌	brt dik
不料	brt liu
不新鲜	brt srn sin
不断	brt tvn
不方便	brt foj bin
不日	brt yrt
不明	brt mij
不明不白	brt mij brt bak
不明事理	brt mij si lei
不明就里	brt mij zru lxi
不明确	brt mij kok
不明觉厉	brt mij gok lri
不明飞行物	brt mij fei hrj mrt
不易	brt yi
不易之论	brt yik zi lxn
不是	brt si
不是一家人不进一家门	brt si yrt ga yrn brt zxn yrt ga mun
不是冤家不聚头	brt si yvn ga brt zxi tru
不是吃素的	brt si hek sou dik
不是味儿	brt si mei yi
不是吗	brt si ma
不是东西	brt si duj sri
不是滋味	brt si zi mei
不时	brt si
不时之需	brt si zi sxi
不智	brt zi
不暇	brt ha
不曾	brt crj
不会	brt wui
不服	brt fuk
不服水土	brt fuk sxi tou
不服罪	brt fuk zxi
不期	brt kei
不期然而然	brt kei yin yi yin
不期而遇	brt kei yi yv
不朽	brt nru
不枉	brt woj
不标准	brt biu zxn
不欢而散	brt fun yi san
不止	brt zi
不止一次	brt zi yrt ci
不正之风	brt zij zi fuj
不正常	brt zij sxj
不正常状况	brt zij sxj zoj foj
不正当	brt zij doj
不正当竞争	brt zij doj gij zrj
不正当关系	brt zij doj guan hri
不正确	brt zij kok
不死心	brt sei srm
不比	brt bei
不毛	brt mou
不毛之地	brt mou zi dei
不求人	brt kru yrn
勿求人	mrt kru yrn
不求收获	brt kru sru wok
不求有功，但求无过	brt kru yru guj ，dan kru mou guo
不求甚解	brt kru srm gai
不治	brt zi
不治之症	brt zi zi zij
不治而愈	brt zi yi yv
不沾锅	brt zim wo
不法	brt fat
不法分子	brt fat frn zi
不注意	brt zv yi
不消	brt siu
不清	brt cij
不清楚	brt cij co
不减当年	brt gam doj nin
不渝	brt yv
不测	brt crk
不凑巧	brt cru hau
不准确	brt zxn kok
不溶	brt yuj
不满	brt mun
不满意	brt mun yi
不济	brt zri
不为人知	brt wri yrn zi
不为左右袒	brt wri zo yru tan
不为已甚	brt wri yi srm
不为所动	brt wri so duj
不为酒困	brt wri zru qurn
不无	brt mou
不无小补	brt mou siu bou
不然	brt yin
不争	brt zrj
不争气	brt zrj hei
不爽	brt soj
不特	brt drk
不独	brt duk
不理	brt lei
不理不睬	brt lei brt coi
不甘	brt grm
不甘寂寞	brt grm zik mok
不甘心	brt grm srm
不甘于	brt grm yv
不甘示弱	brt grm si yxk
不用	brt yuj
不用客气	brt yuj hak hei
不用找	brt yuj zau
不用谢	brt yuj ze
不由	brt yru
不由分说	brt yru frn svt
不由得	brt yru drk
不由自主	brt yru zi zv
不畏	brt wri
不畏强暴	brt wri kxj bou
不畏强权	brt wri kxj kvn
不当	brt doj
不当一回事	brt doj yrt wui si
不当事	brt doj si
不当得利	brt doj drk lei
不当紧	brt doj grn
不疾不徐	brt zrt brt cxi
不痛不痒	brt tuj brt yxj
不登大雅之堂	brt drj dai ja zi toj
不白之冤	brt bak zi yvn
不尽	brt zxn
不尽根	brt zxn grn
不相上下	brt sxj sxj ha
不相容	brt sxj yuj
不相容原理	brt sxj yuj yvn lei
不相干	brt sxj gon
不相符	brt sxj fu
不省人事	brt sij yrn si
不眠不休	brt min brt yru
不睦	brt muk
不瞅不睬	brt cru brt coi
不知	brt zi
不知丁董	brt zi dij duj
不知不觉	brt zi brt gok
不知何故	brt zi ho gu
不知其所以然	brt zi kei so yi yin
不知凡几	brt zi fan gei
不知去向	brt zi hxi hxj
不知天高地厚	brt zi tin gou dei hru
不知好歹	brt zi hou dai
不知利害	brt zi lei hoi
不知就里	brt zi zru lxi
不知所之	brt zi so zi
不知所云	brt zi so wrn
不知所措	brt zi so cou
不知死活	brt zi sei wut
不知疲倦	brt zi pei gvn
不知痛痒	brt zi tuj yxj
不知羞耻	brt zi sru ci
不知者不罪	brt zi ze brt zxi
不知轻重	brt zi hij cuj
不知进退	brt zi zxn txi
不破不立	brt po brt lap
不碎玻璃	brt sxi bo lei
不确定性原理	brt kok dij sij yvn lei
不确实	brt kok srt
不祥	brt cxj
不祥之兆	brt cxj zi siu
不禁	brt grm
不移	brt yi
不稂不莠	brt loj brt yru
不稳	brt wrn
不稳定	brt wrn dij
不稳定气流	brt wrn dij hei lru
不稳平衡	brt wrn pij hrj
不稳性	brt wrn sij
不空成就佛	brt huj sij zru frt
不穷	brt kuj
不端	brt dvn
不符	brt fu
不符合	brt fu hrp
不第	brt dri
不等	brt drj
不等价交换	brt drj ga gau wun
不等式	brt drj sik
不等号	brt drj hou
不等边三角形	brt drj bin sam gok yij
不答理	brt dap lei
不搭理	brt dap lei
不管	brt gun
不管三七二十一	brt gun sam crt yi srp yrt
不简单	brt gan dan
不粘锅	brt nim wo
不约而同	brt yxk yi tuj
不终天年	brt zuj tin nin
不结果	brt git guo
不结盟	brt git mrj
不结盟运动	brt git mrj wrn duj
不绝	brt zvt
不绝如缕	brt zvt yv lxi
不绝于耳	brt zvt yv yi
不绝于途	brt zvt yv tou
不给力	brt krp lik
不经一事	brt gij yrt si
不经一事，不长一智	brt gij yrt si ，brt zxj yrt zi
不经之谈	brt gij zi tam
不经意	brt gij yi
不经意间	brt gij yi gan
不置可否	brt zi ho fru
不羁	brt gei
不义	brt yi
不义之财	brt yi zi coi
不翼而飞	brt yik yi fei
不耐烦	brt noi fan
不闻不问	brt mrn brt mrn
不声不响	brt sij brt hxj
不听命	brt tij mij
不肖	brt ciu
不育	brt yuk
不育性	brt yuk sij
不育症	brt yuk zij
不能	brt nrj
不能不	brt nrj brt
不能抵抗	brt nrj dri koj
不能自已	brt nrj zi yi
不胫而走	brt gij yi zru
不自在	brt zi zoi
不自然	brt zi yin
不自由，毋宁死	brt zi yru ，mou nij sei
不自觉	brt zi gok
不自量	brt zi lxj
不自量力	brt zi lxj lik
不致	brt zi
不兴	brt hij
不舒服	brt sv fuk
不舒适	brt sv sik
不良	brt lxj
不良倾向	brt lxj kij hxj
不苟	brt gru
不若	brt yxk
不菲	brt fei
不莱梅	brt loi mui
不落俗套	brt lok zuk tou
不落痕迹	brt lok hrn zik
不落窠臼	brt lok fo kru
不着	brt zxk
不着边际	brt zxk bin zri
不着陆飞行	brt zxk luk fei hrj
不蒸馒头争口气	brt zij man tru zrj hru hei
不虚此行	brt hxi ci hrj
不虞	brt yv
不行	brt hrj
不行了	brt hrj liu
不衰	brt sxi
不要	brt yiu
不要紧	brt yiu grn
不要脸	brt yiu lim
不见	brt gin
不见一点踪影	brt gin yrt dim zuj yij
不见不散	brt gin brt san
不见兔子不撒鹰	brt gin tou zi brt sat yij
不见天日	brt gin tin yrt
不见棺材不落泪	brt gin gun coi brt lok lxi
不见经传	brt gin gij zvn
不规则	brt quri zrk
不规则三角形	brt quri zrk sam gok yij
不规则四边形	brt quri zrk sei bin yij
不规范	brt quri fan
不觉	brt gok
不解	brt gai
不解风情	brt gai fuj cij
不触目	brt zuk muk
不言不语	brt yin brt yv
不言而喻	brt yin yi yv
不言自明	brt yin zi mij
不计	brt gri
不计其数	brt gri kei sou
不记名投票	brt gei mij tru piu
不许	brt hxi
不该	brt goi
不详	brt cxj
不语	brt yv
不诚实	brt sij srt
不说自明	brt svt zi mij
不调和	brt tiu wo
不请自来	brt cij zi loi
不论	brt lxn
不讳	brt wri
不谙世故	brt rm sri gu
不谋而合	brt mru yi hrp
不谓	brt wri
不谢	brt ze
不识一丁	brt sik yrt dij
不识大体	brt sik dai tri
不识好歹	brt sik hou dai
不识字	brt sik zi
不识庐山真面目	brt sik lou san zrn min muk
不识抬举	brt sik toi gxi
不识时务	brt sik si mou
不识时变	brt sik si bin
不识泰山	brt sik tai san
不识高低	brt sik gou dri
不变	brt bin
不变价格	brt bin ga gak
不变化	brt bin fa
不变资本	brt bin zi bun
不变量	brt bin lxj
不让须眉	brt yxj sou mei
不象话	brt zxj wa
不负众望	brt fu zuj moj
不赀	brt zi
不买账	brt mai zxj
不费事	brt fri si
不费吹灰之力	brt fri cxi fui zi lik
不赖	brt lai
不赞一词	brt zan yrt ci
不赞成	brt zan sij
不起眼	brt hei jan
不起眼儿	brt hei jan yi
不越雷池	brt yvt lxi ci
不足	brt zuk
不足挂齿	brt zuk gua ci
不足月	brt zuk yvt
不足为外人道	brt zuk wri joi yrn dou
不足为奇	brt zuk wri kei
不足为怪	brt zuk wri guai
不足为虑	brt zuk wri lxi
不足为训	brt zuk wri frn
不足为道	brt zuk wri dou
不足的地方	brt zuk dik dei foj
不足道	brt zuk dou
不足齿数	brt zuk ci sou
不轨	brt guri
不轻饶	brt hij yiu
不辍	brt zvt
不辨菽麦	brt bin suk mrk
不辞劳苦	brt ci lou fu
不辞而别	brt ci yi bit
不辞辛苦	brt ci srn fu
不近人情	brt grn yrn cij
不迭	brt dit
不送	brt suj
不送气	brt suj hei
不透明	brt tru mij
不透气	brt tru hei
不透水	brt tru sxi
不通	brt tuj
不逞之徒	brt cij zi tou
不速	brt cuk
不速之客	brt cuk zi hak
不速而至	brt cuk yi zi
不连续	brt lin zuk
不连续面	brt lin zuk min
不逮捕特权	brt dri bou drk kvn
不遂	brt sxi
不过	brt guo
不过意	brt guo yi
不过尔尔	brt guo yi yi
不遑	brt woj
不遑多让	brt woj do yxj
未遑多让	mei woj do yxj
不道德	brt dou drk
不违农时	brt wri nuj si
不逊	brt sxn
不远千里	brt yvn cin lei
不适	brt sik
不适当	brt sik doj
不遗余力	brt wri yv lik
不避斧钺	brt bei fu yvt
不避艰险	brt bei gan him
不醉不归	brt zxi brt guri
不错	brt co
不锈钢	brt sru goj
不锈铁	brt sru tit
不开窍	brt hoi hiu
不关痛痒	brt guan tuj yxj
不随大流	brt cxi dai lru
不随意	brt cxi yi
不随意肌	brt cxi yi gei
不雅	brt ja
不雅观	brt ja gun
不离不弃	brt lei brt hei
不离儿	brt lei yi
不露声色	brt lou sij sik
不灵	brt lij
不韪	brt wri
不顺	brt sxn
不题	brt tri
不愿	brt yvn
不顾	brt gu
不顾一切	brt gu yrt cri
不顾前后	brt gu cin hru
不显山不露水	brt hin san brt lou sxi
不食人间烟火	brt sik yrn gan yin fo
不饱和	brt bau wo
不饱和脂肪酸	brt bau wo zi foj svn
不首先使用	brt sru sin si yuj
不体面	brt tri min
不齿	brt ci
丐帮	koi boj
丑时	cru si
丑牛	cru jru
丑角	cru gok
且不说	ce brt svt
且休	ce yru
且慢	ce man
且末	ce mut
且末县	ce mut yvn
且末遗址	ce mut wri zi
且听下回分解	ce tij ha wui frn gai
且说	ce svt
丕变	pei bin
世上	sri sxj
世世	sri sri
世世代代	sri sri doi doi
世事	sri si
世交	sri gau
世人	sri yrn
世仇	sri sru
世代	sri doi
世代交替	sri doi gau tri
世代相传	sri doi sxj cvn
世伯	sri bak
世俗	sri zuk
世务	sri mou
世博	sri bok
世博会	sri bok wui
世外桃源	sri joi tou yvn
世宗	sri zuj
世宗大王	sri zuj dai woj
世家	sri ga
世尊	sri zvn
世局	sri guk
世情	sri cij
世态炎凉	sri tai yim lxj
世故	sri gu
世爵	sri zxk
世界	sri gai
世界人权宣言	sri gai yrn kvn svn yin
世界博览会	sri gai bok lam wui
世界各地	sri gai gok dei
世界和平	sri gai wo pij
世界地图	sri gai dei tou
世界报	sri gai bou
世界大战	sri gai dai zin
世界小姐选美	sri gai siu ze svn mei
世界屋脊	sri gai uk zek
世界强国	sri gai kxj guok
世界文化遗产	sri gai mrn fa wri can
世界文化遗产地	sri gai mrn fa wri can dei
世界旅游组织	sri gai lxi yru zou zik
世界日报	sri gai yrt bou
世界末日	sri gai mut yrt
世界气象组织	sri gai hei zxj zou zik
世界海关组织	sri gai hoi guan zou zik
世界知名	sri gai zi mij
世界知识产权组织	sri gai zi sik can kvn zou zik
世界第一	sri gai dri yrt
世界粮食署	sri gai lxj sik cv
世界纪录	sri gai gei luk
世界级	sri gai krp
世界经济	sri gai gij zri
世界经济论坛	sri gai gij zri lxn tan
世界维吾尔代表大会	sri gai wri j yi doi biu dai wui
世界闻名	sri gai mrn mij
世界自然基金会	sri gai zi yin gei grm wui
世界卫生大会	sri gai wri srj dai wui
世界卫生组织	sri gai wri srj zou zik
世界观	sri gai gun
世界语	sri gai yv
世界变暖	sri gai bin nvn
世界贸易	sri gai mru yik
世界贸易中心	sri gai mru yik zuj srm
世界贸易组织	sri gai mru yik zou zik
世界运动会	sri gai wrn duj wui
世界野生生物基金会	sri gai ye srj srj mrt gei grm wui
世界金融中心	sri gai grm yuj zuj srm
世界银行	sri gai jrn hoj
世禄	sri luk
世禄之家	sri luk zi ga
世系	sri hri
世纪	sri gei
世纪末	sri gei mut
世纪末年	sri gei mut nin
世维会	sri wri wui
世职	sri zik
世胄	sri zru
世行	sri hoj
世卫	sri wri
世卫组织	sri wri zou zik
世袭	sri zap
世袭之争	sri zap zi zrj
世袭君主国	sri zap gurn zv guok
世说新语	sri svt srn yv
世贸	sri mru
世贸中心大楼	sri mru zuj srm dai lru
世贸大厦	sri mru dai ha
世贸组织	sri mru zou zik
世运	sri wrn
世道	sri dou
世银	sri jrn
世锦赛	sri grm coi
世间	sri gan
世隔绝	sri gak zvt
世面	sri min
世风	sri fuj
世风日下	sri fuj yrt ha
丘八	yru bat
丘北	yru brk
丘北县	yru brk yvn
丘壑	yru kok
丘成桐	yru sij tuj
丘比特	yru bei drk
丘尔金	yru yi grm
丘疹	yru zrn
丘县	yru yvn
丘脑	yru nou
丘脑损伤	yru nou svn sxj
丘逢甲	yru fuj gap
丘陵	yru lij
丘鹬	yru wrt
丙三醇	bij sam sxn
丙二醇	bij yi sxn
丙午	bij j
丙型	bij yij
丙型肝炎	bij yij gon yim
丙基	bij gei
丙子	bij zi
丙子战争	bij zi zin zrj
丙子胡乱	bij zi wu lvn
丙寅	bij yrn
丙戌	bij sxt
丙氨酸	bij on svn
丙烯	bij hei
丙烯腈	bij hei cij
丙烯酸	bij hei svn
丙烯酸酯	bij hei svn zi
丙烯醛	bij hei cvn
丙烷	bij yvn
丙环唑	bij wan zo
丙申	bij srn
丙种射线	bij zuj se sin
丙等	bij drj
丙糖	bij toj
丙纶	bij lxn
丙辰	bij srn
丙酮	bij tuj
丙酮酸	bij tuj svn
丙酮酸脱氢酶	bij tuj svn tvt hij mui
丙醇	bij sxn
丙醚	bij mri
丙醛	bij cvn
丞相	sij sxj
丢三落四	diu sam lok sei
丢下	diu ha
丢丑	diu cru
丢人	diu yrn
丢人现眼	diu yrn yin jan
丢到家	diu dou ga
丢命	diu mij
丢失	diu srt
丢官	diu gun
丢手	diu sru
丢掉	diu diu
丢弃	diu hei
丢乌纱帽	diu wu sa mou
丢眉丢眼	diu mei diu jan
丢眉弄色	diu mei luj sik
丢脸	diu lim
丢轮扯炮	diu lxn ce pau
丢开	diu hoi
丢面子	diu min zi
丢饭碗	diu fan wun
丢魂	diu wrn
并不	bij brt
并不在乎	bij brt zoi fu
并且	bij ce
并列	bij lit
并口	bij hru
并坐	bij co
并存	bij cvn
并把	bij ba
并排	bij pai
并条	bij tiu
并激	bij gik
并称	bij cij
并立	bij lap
并系群	bij hri qurn
并联	bij lvn
并肩	bij gin
并臻	bij zxn
并举	bij gxi
并蒂莲	bij dri lin
并处	bij cv
并行	bij hrj
并行不悖	bij hrj brt bui
并行口	bij hrj hru
并行程序	bij hrj cij zxi
并行计算	bij hrj gri svn
并进	bij zxn
并重	bij zuj
并非	bij fei
并驾齐驱	bij ga cri kxi
丫巴儿	a ba yi
丫挺	a tij
丫杈	a ca
桠杈	a ca
丫环	a wan
丫头	a tru
丫头片子	a tru pin zi
丫髻	a gri
丫鬟	a wan
中世纪	zuj sri gei
中亚	zuj a
中亚夜鹰	zuj a ye yij
中亚细亚	zuj a sri a
中亚草原	zuj a cou yvn
中亚鸽	zuj a gap
中人	zuj yrn
中介	zuj gai
中介所	zuj gai so
中企业	zuj kei yip
中伏	zuj fuk
二伏	yi fuk
中位数	zuj wri sou
中低端	zuj dri dvn
中俄	zuj jo
中俄伊犁条约	zuj jo yi lri tiu yxk
中俄北京条约	zuj jo brk gij tiu yxk
中俄尼布楚条约	zuj jo nei bou co tiu yxk
中俄改订条约	zuj jo goi dij tiu yxk
中俄边界协议	zuj jo bin gai hip yi
中俄关系	zuj jo guan hri
中保	zuj bou
中信银行	zuj sxn jrn hoj
中值定理	zuj zik dij lei
中伤	zuj sxj
中元	zuj yvn
中元普渡	zuj yvn pou dou
中元节	zuj yvn zit
中共	zuj guj
中共中央	zuj guj zuj yxj
中共中央宣传部	zuj guj zuj yxj svn cvn bou
中共中央纪委监察部	zuj guj zuj yxj gei wri gam cat bou
中共中央纪律检查委员会	zuj guj zuj yxj gei lxt gim ca wri yvn wui
中共中央组织部	zuj guj zuj yxj zou zik bou
中共中央办公厅	zuj guj zuj yxj ban guj tej
中共九大	zuj guj gru dai
中前卫	zuj cin wri
中北大学	zuj brk dai hok
中北部	zuj brk bou
中区	zuj kxi
中午	zuj j
中南	zuj nam
中南半岛	zuj nam bun dou
中南海	zuj nam hoi
中南部	zuj nam bou
中印	zuj yrn
中印半岛	zuj yrn bun dou
中原	zuj yvn
中原区	zuj yvn kxi
中原大学	zuj yvn dai hok
中古	zuj gu
中古汉语	zuj gu hon yv
中向性格	zuj hxj sij gak
中和	zuj wo
中和剂	zuj wo zri
中和市	zuj wo si
中圈套	zuj hvn tou
中国	zuj guok
中国中央电视台	zuj guok zuj yxj din si toi
中国中心主义	zuj guok zuj srm zv yi
中国交通建设	zuj guok gau tuj gin cit
中国交通运输协会	zuj guok gau tuj wrn sv hip wui
中国人大	zuj guok yrn dai
中国人权民运信息中心	zuj guok yrn kvn mrn wrn sxn sik zuj srm
中国人权组织	zuj guok yrn kvn zou zik
中国人民大学	zuj guok yrn mrn dai hok
中国人民对外友好协会	zuj guok yrn mrn dxi joi yru hou hip wui
中国人民志愿军	zuj guok yrn mrn zi yvn gurn
中国人民政治协商会议	zuj guok yrn mrn zij zi hip sxj wui yi
中国人民武装警察部队	zuj guok yrn mrn mou zoj gij cat bou dxi
中国人民解放军	zuj guok yrn mrn gai foj gurn
中国人民解放军海军	zuj guok yrn mrn gai foj gurn hoi gurn
中国人民解放军空军	zuj guok yrn mrn gai foj gurn huj gurn
中国人民银行	zuj guok yrn mrn jrn hoj
中国伊斯兰教协会	zuj guok yi si lan gau hip wui
中国作协	zuj guok zok hip
中国作家协会	zuj guok zok ga hip wui
中国保险监督管理委员会	zuj guok bou him gam duk gun lei wri yvn wui
中国传媒大学	zuj guok cvn mui dai hok
中国光大银行	zuj guok guoj dai jrn hoj
中国共产主义青年团	zuj guok guj can zv yi cij nin tvn
中国共产党	zuj guok guj can doj
中国共产党中央委员会	zuj guok guj can doj zuj yxj wri yvn wui
中国共产党中央委员会宣传部	zuj guok guj can doj zuj yxj wri yvn wui svn cvn bou
中国剩余定理	zuj guok sij yv dij lei
中国化	zuj guok fa
中国北方工业公司	zuj guok brk foj guj yip guj si
中国同盟会	zuj guok tuj mrj wui
中国国家博物馆	zuj guok guok ga bok mrt gun
中国国家原子能机构	zuj guok guok ga yvn zi nrj gei kru
中国国家地震局	zuj guok guok ga dei zrn guk
中国国家环保局	zuj guok guok ga wan bou guk
中国国家环境保护总局	zuj guok guok ga wan gij bou wu zuj guk
中国国家航天局	zuj guok guok ga hoj tin guk
中国国民党革命委员会	zuj guok guok mrn doj gak mij wri yvn wui
中国国防科技信息中心	zuj guok guok foj fo gei sxn sik zuj srm
中国国际信托投资公司	zuj guok guok zri sxn tok tru zi guj si
中国国际广播电台	zuj guok guok zri guoj bo din toi
中国国际航空公司	zuj guok guok zri hoj huj guj si
中国国际贸易促进委员会	zuj guok guok zri mru yik cuk zxn wri yvn wui
中国地球物理学会	zuj guok dei kru mrt lei hok wui
中国地质大学	zuj guok dei zrt dai hok
中国地质调查局	zuj guok dei zrt diu ca guk
中国地震台	zuj guok dei zrn toi
中国地震局	zuj guok dei zrn guk
中国城	zuj guok sij
中国大百科全书出版社	zuj guok dai bak fo cvn sv cxt ban se
中国大蝾螈	zuj guok dai wij yvn
中国天主教爱国会	zuj guok tin zv gau oi guok wui
中国好声音	zuj guok hou sij yrm
中国小说史略	zuj guok siu svt si lxk
中国少年先锋队	zuj guok siu nin sin fuj dxi
中国工商银行	zuj guok guj sxj jrn hoj
中国工程院	zuj guok guj cij yvn
中国左翼作家联盟	zuj guok zo yik zok ga lvn mrj
中国广播公司	zuj guok guoj bo guj si
中国建设银行	zuj guok gin cit jrn hoj
中国式	zuj guok sik
中国政法大学	zuj guok zij fat dai hok
中国教育和科研计算机网	zuj guok gau yuk wo fo yin gri svn gei moj
中国教育网	zuj guok gau yuk moj
中国文学艺术界联合会	zuj guok mrn hok jri sxt gai lvn hrp wui
中国文联	zuj guok mrn lvn
中国新民党	zuj guok srn mrn doj
中国新闻社	zuj guok srn mrn se
中国新闻网	zuj guok srn mrn moj
中国日报	zuj guok yrt bou
中国时报	zuj guok si bou
中国东方航空	zuj guok duj foj hoj huj
中国核能总公司	zuj guok hrt nrj zuj guj si
中国历史博物馆	zuj guok lik si bok mrt gun
中国残疾人联合会	zuj guok can zrt yrn lvn hrp wui
中国残联	zuj guok can lvn
中国民主促进会	zuj guok mrn zv cuk zxn wui
中国民主同盟	zuj guok mrn zv tuj mrj
中国民主建国会	zuj guok mrn zv gin guok wui
中国民用航空局	zuj guok mrn yuj hoj huj guk
中国气象局	zuj guok hei zxj guk
中国法学会	zuj guok fat hok wui
中国海	zuj guok hoi
中国海事局	zuj guok hoi si guk
中国海洋石油总公司	zuj guok hoi yxj sek yru zuj guj si
中国消费者协会	zuj guok siu fri ze hip wui
中国无线电频谱管理和监测	zuj guok mou sin din prn pou gun lei wo gam cak
中国特色社会主义	zuj guok drk sik se wui zv yi
中国产	zuj guok can
中国画	zuj guok wa
中国石化	zuj guok sek fa
中国石油化工股份有限公司	zuj guok sek yru fa guj gu frn yru han guj si
中国石油和化学工业协会	zuj guok sek yru wo fa hok guj yip hip wui
中国石油天然气集团公司	zuj guok sek yru tin yin hei zap tvn guj si
中国社会科学院	zuj guok se wui fo hok yvn
中国科学院	zuj guok fo hok yvn
